bootstrap_series,hidden_size,learning_rate,dropout,rmse,r2training_time,s_score,mape,r2,training_time
1,160.0,0.00039617097529020883,0.30000000000000004,18.52791901318074,,1962.8925704058938,43.781214002901,0.8004405498504639,891.5145428180695
2,128.0,0.0008350565386705059,0.4,18.642015710642973,,1822.795435022234,44.28878362461225,0.7979751229286194,675.6665506362915
3,96.0,0.0004199950750038767,0.2,19.346730731320843,,2032.0967723974616,50.71395741106974,0.7824123501777649,736.5722892284393
4,224.0,0.0009179264901663227,0.1,20.397234620795565,,6920.693868859388,40.90493056480946,0.7581413388252258,714.1130073070526
5,96.0,0.0009439185187258799,0.30000000000000004,18.941525072451597,,1476.99267422911,38.964573806889355,0.7914313673973083,962.7488129138947
6,96.0,0.001927235108452324,0.4,18.158701325752638,,1673.0376274051969,42.411704514182496,0.8083147406578064,684.5543403625488
7,96.0,0.004411185326159323,0.5,18.543685883146654,,2357.4143268047783,46.657705992147456,0.8001007437705994,538.856693983078
8,224.0,0.0006528345899777166,0.30000000000000004,18.906891614887662,,1836.4527258831235,49.302453793773076,0.7921934127807617,924.694278717041
9,160.0,0.00319041916494474,0.30000000000000004,18.26919507722032,,1412.3058952251613,38.29351242534233,0.8059749007225037,886.4248547554016
10,96.0,0.004640688695700162,0.5,19.672922120165417,,2153.1847506291765,50.38275797259051,0.7750133275985718,871.1845786571503
11,160.0,0.00345038762875597,0.4,17.99308389674306,,1894.0658862538885,35.14145615065449,0.8117953538894653,779.0046563148499
12,160.0,0.007529495629653398,0.30000000000000004,19.24200987027229,,1879.1933596284637,40.60611999184369,0.7847614884376526,897.9584815502167
13,160.0,0.0002471361765598494,0.30000000000000004,19.533613138288782,,2791.6080649431647,48.71204973367217,0.7781884074211121,787.2981731891632
14,128.0,0.00025032851830088454,0.1,17.84795248646142,,1732.0666657138331,40.67638625498554,0.8148192167282104,774.1553025245667
15,64.0,0.002868756704868756,0.2,18.410481560753052,,1925.1694831881218,36.61455267862667,0.8029623031616211,647.8792219161987
16,224.0,0.0005136917971808143,0.4,18.76190052027812,,1952.9886144002126,48.55909139317913,0.7953683733940125,733.1453266143799
17,96.0,0.0012574139913228207,0.2,18.61730798193285,,1607.8996567518357,41.553370569227646,0.7985103130340576,1233.2073996067047
18,128.0,0.0036328834443756777,0.30000000000000004,18.783395552623816,,1810.5333589659274,42.500987422563355,0.7948992252349854,703.6270496845245
19,64.0,0.0004808484360245527,0.5,19.6726847778128,,1689.625888170845,46.75351643414936,0.7750187516212463,847.8260834217072
20,224.0,0.0005516680752050697,0.2,17.43158536843483,,1600.0168412369921,35.14035121310764,0.8233584761619568,589.3651149272919
